run_id,epoch,total_epochs,train_loss,train_acc,val_loss,val_acc
20260326_034350,1,20,1.5748,45.61,1.4734,53.80
20260326_034350,2,20,1.1955,62.90,1.0965,67.95
20260326_034350,3,20,1.0375,70.00,0.9882,72.67
20260326_034350,4,20,0.9401,74.25,0.8810,77.37
20260326_034350,5,20,0.8760,76.80,0.8753,77.84
20260326_034350,6,20,0.7835,80.70,0.7857,81.29
20260326_034350,7,20,0.7558,81.76,0.8066,80.68
20260326_034350,8,20,0.7306,82.69,0.7619,82.11
20260326_034350,9,20,0.7123,83.37,0.8079,80.81
20260326_034350,10,20,0.6940,84.14,0.7354,82.88
20260326_034350,11,20,0.6434,86.13,0.6651,85.56
20260326_034350,12,20,0.6235,87.12,0.6614,85.49
20260326_034350,13,20,0.6172,87.24,0.6543,85.95
20260326_034350,14,20,0.6070,87.74,0.6419,86.50
20260326_034350,15,20,0.5964,88.15,0.6785,85.49
20260326_034350,16,20,0.5669,89.34,0.6161,87.45
20260326_034350,17,20,0.5551,89.80,0.5966,88.56
20260326_034350,18,20,0.5519,89.76,0.6003,88.26
20260326_034350,19,20,0.5467,90.10,0.5983,88.04
20260326_034350,20,20,0.5426,90.28,0.5894,88.58
